"","ip","port","country-anonymity-ssl","google_passed"
"1","38.10.69.101","9090","TR-N!","-"
"2","138.117.84.86","999","CO-N-S","-"
"3","140.83.32.175","80","JP-A","-"
"4","177.93.52.32","999","CO-N-S!","+"
"5","201.184.107.26","999","CO-N!","-"
"6","154.117.159.230","8080","ZA-N","-"
"7","14.207.122.179","8080","TH-H-S","+"
"8","124.121.105.172","8080","TH-N","-"
"9","20.24.200.47","8000","HK-A-S","+"
"10","200.85.198.9","999","CL-N","-"
"11","41.65.67.166","1976","EG-N","-"
"12","218.158.46.197","808","KR-N","+"
"13","189.190.209.210","999","MX-N-S","-"
"14","50.93.205.192","8118","US-N","+"
"15","51.103.108.84","8000","FR-A-S","+"
"16","124.105.177.237","8080","PH-N-S","-"
"17","165.154.243.209","80","TW-A!","+"
"18","47.254.153.200","80","DE-A!","+"
"19","190.109.16.145","999","CO-N!","-"
"20","20.77.244.200","8000","GB-A","+"
"21","160.119.135.210","3129","GN-N","-"
"22","51.103.79.29","8000","FR-A-S","+"
"23","191.97.16.113","999","VE-N!","-"
"24","20.187.84.29","8000","HK-A-S","+"
"25","51.103.84.201","8000","FR-A-S","+"
"26","79.111.13.155","50625","RU-H-S","-"
"27","181.119.67.197","999","AR-N-S!","-"
"28","69.43.44.106","8080","US-N-S","-"
"29","196.179.204.9","8080","TN-H","-"
"30","180.191.40.48","8080","PH-N-S","-"
"31","102.222.51.156","8080","ZA-N","-"
"32","104.208.98.217","8000","HK-A-S","+"
"33","192.236.160.186","80","US-H","-"
"34","103.150.239.242","8080","PK-N","+"
"35","101.32.243.126","443","SG-A","+"
"36","91.90.180.185","8080","PL-N","-"
"37","222.237.73.160","3128","KR-N","-"
"38","3.138.85.61","3128","US-A","+"
"39","217.160.241.42","3128","DE-N","-"
"40","20.24.87.238","8000","HK-A-S","+"
"41","20.87.217.83","8000","ZA-A-S","+"
"42","190.89.38.49","999","DO-N-S","+"
"43","20.24.98.151","8000","HK-A-S","+"
"44","201.174.17.126","999","MX-N","-"
"45","20.87.219.39","8000","ZA-A-S","+"
"46","103.48.68.36","83","IN-N!","+"
"47","187.190.17.13","8080","MX-N-S","-"
"48","47.243.87.119","1088","HK-H","-"
"49","185.251.12.25","8080","AT-N-S","+"
"50","171.6.109.92","8080","TH-N-S","+"
"51","162.252.145.225","8282","US-N-S!","-"
"52","103.47.173.169","8080","IN-N-S!","-"
"53","167.172.96.117","33747","DE-H-S!","+"
"54","104.208.97.22","8000","HK-A-S","+"
"55","185.53.35.100","8080","IE-N","-"
"56","154.236.177.100","1981","EG-H!","-"
"57","203.220.181.250","80","AU-N","+"
"58","20.77.252.14","8000","GB-A-S","+"
"59","20.89.58.156","8000","JP-A-S","+"
"60","191.97.9.189","999","CO-N-S!","-"
"61","115.243.238.43","80","IN-A!","+"
"62","154.26.135.30","8080","SG-N-S","-"
"63","80.73.87.198","59175","RU-H","-"
"64","84.207.252.37","8080","DE-N","-"
"65","5.196.63.97","8080","FR-H","-"
"66","20.68.122.191","8000","GB-A-S","+"
"67","41.65.236.37","1981","EG-N","-"
"68","20.24.83.157","8000","HK-A-S","+"
"69","190.121.157.142","999","CO-N!","-"
"70","82.148.5.173","8888","UZ-N","-"
"71","168.196.124.130","9991","DO-N","-"
"72","170.79.235.3","999","CL-N!","-"
"73","188.133.153.161","1256","RU-N","-"
"74","104.45.128.122","80","US-H","+"
"75","200.85.183.100","8080","AR-N!","-"
"76","36.255.87.222","83","IN-N!","-"
"77","37.148.217.235","999","DO-N-S!","-"
